title,id,subCount,videoCount,viewCount,vidTitle,vidid,date,likes,dislikes,vid_views,vid_duration,vid_caption,likeRatio,startYear,startMonth,endYear,endMonth,interestChange,goodYoutuber,duration,Weighted_Sentiments
NinaBeautyWorld,UCD78d7Ql9GjulCpUctHczOw,198000.0,414.0,25216941.0,REVIEW || ทรีทเมนต์ใหม่จาก Estee Lauder ฟื้นบำรุง + รีเซ็ทผิว || NinaBeautyWorld,FMJhVt2l2dk,2019-08-29,230.0,9.0,21597.0,PT14M55S,False,0.9623430962343096,2019,8,2019,9,-322.2649999999999,0,895,-0.8000000000000003
The Beauty Maverick,UCfjBWQJdAgmcJEvFIC0zV4Q,41500.0,571.0,8435424.0,Estee Lauder Revitalizing Supreme Mask Boost Review,2XWsgG3NXHs,2016-01-17,154.0,18.0,23370.0,PT11M16S,True,0.8953488372093024,2016,1,2016,1,-430.805,0,676,4.00394141155218
LipglossLeslie,UCEcBVqrzxj1Z0jgF9KjT3Zg,35100.0,1380.0,5447056.0,Estee Lauder Pure Color Envy Lipsticks Collection Review &amp; Swatches!,_tDZTEguq4s,2014-10-11,525.0,32.0,83060.0,PT9M45S,True,0.9425493716337524,2014,10,2014,10,450.89999999999986,1,585,3.970760054394571
leighannsays,UCeZn7qRN3JKVcEYK_dDg7JQ,824000.0,1147.0,111527988.0,DREAM FOUNDATION? | Review + Try-ON Estee Lauder Double Wear Nude Water Fresh Foundation,2sN5cNg8JGk,2017-09-08,2363.0,26.0,60077.0,PT10M32S,False,0.9891167852658016,2017,9,2017,9,71.36999999999978,1,632,1.2288033326553176
Christine Christy,UCoVZPv19_s0JYkRnkI-rQWg,1130.0,224.0,155989.0,Estee Lauder HOLIDAY BLOCKBUSTER 2020 Review,XigDJKeCmpI,2020-11-03,21.0,6.0,2007.0,PT15M49S,False,0.7777777777777778,2020,11,2020,11,34.21000000000001,1,949,1.2314829112600605
Katie Manwaring,UCoaET0AkjRjXrF0dRZB03Lg,39200.0,33.0,3446352.0,Estee Lauder DayWear BB Cream Review &amp; Demonstration,3kmwouoFsOY,2012-04-05,333.0,55.0,156232.0,PT10M47S,False,0.8582474226804123,2012,4,2012,4,0.8999999999998636,1,647,-0.2548424699398867
Taylor Wynn,UCkJHb4rTNd8PIMD9S0UPCiw,837000.0,1100.0,161148017.0,NEW Estee Lauder Double Wear Radiant Cushion Stick FOUNDATION Demo &amp; Review | 15 DAYS OF FOUNDATION,KaKPWNpSOzc,2016-07-17,3605.0,108.0,215052.0,PT11M45S,False,0.970913008349044,2016,7,2016,7,-422.25,0,705,6.781068191945804
Lisa J,UCY8LkGSO_34lHxujnvATGAw,190000.0,662.0,17211211.0,"First Impression, Review and Demo: Estee Lauder Cushion Stick Foundation &amp; Highligher",7kfF2HDOEGk,2016-09-05,232.0,16.0,35404.0,PT20M28S,False,0.935483870967742,2016,9,2016,9,103.30499999999985,1,1228,4.474752906047957
POPSUGAR Beauty,UCN781-j50kA-q2CsGqZuzlg,269000.0,1247.0,59952579.0,Estée Lauder&#39;s New Perfectly Clean Collection | Beauty Review,rRZxVFG87yk,2013-05-16,155.0,11.0,35270.0,PT3M7S,False,0.933734939759036,2013,5,2013,5,-151.91499999999976,0,187,0.6202473627691631
Nosipho Mhlanga,UCtElapUMkXt9Ikg3LRd63Tg,31200.0,89.0,1293044.0,Estee Lauder Double Wear Foundation | DEMO and REVIEW | South African Beauty Blogger,4XRU0WW0lmI,2017-01-02,287.0,19.0,28601.0,PT12M4S,False,0.937908496732026,2017,1,2017,1,39.350000000000136,1,724,2.6663765134629696
